"DÃ­a","Mes","CAPITAL","CUPRUM","HABITAT"
1,"Enero",61704.96,64440.6,65673.9
2,"Enero",61704.96,64440.6,65673.9
3,"Enero",61488.82,64224.57,65460.01
4,"Enero",61947.16,64677.23,65948.43
5,"Enero",61939.85,64648.24,65954.7
6,"Enero",60744.16,63443.27,64728.73
7,"Enero",60198.62,62885.58,64134.71
8,"Enero",60198.62,62885.58,64134.71
9,"Enero",60198.62,62885.58,64134.71
10,"Enero",59804.33,62451.38,63704.42
11,"Enero",59653.78,62267.23,63510.33
12,"Enero",59965.43,62600.81,63823.16
13,"Enero",60273.27,62926.88,64164.85
14,"Enero",59788.97,62454.55,63659
15,"Enero",59788.97,62454.55,63659
16,"Enero",59788.97,62454.55,63659
17,"Enero",59092.06,61702.5,62899.21
18,"Enero",59504.06,62147.25,63356.36
19,"Enero",58930.51,61546.62,62749.4
20,"Enero",58441.71,61062.04,62259.32
21,"Enero",58042.58,60620.4,61802.83
22,"Enero",58042.58,60620.4,61802.83
23,"Enero",58042.58,60620.4,61802.83
24,"Enero",57360.47,59897.36,61059.84
25,"Enero",56849.13,59319.83,60483.59
26,"Enero",56816.41,59284.25,60445.95
27,"Enero",56675.27,59148.01,60285.04
28,"Enero",56010.61,58488.69,59626.67
29,"Enero",56010.61,58488.69,59626.67
30,"Enero",56010.61,58488.69,59626.67
31,"Enero",56620.54,59082.89,60264.53
1,"Febrero",56854.12,59310.16,60498.37
2,"Febrero",57121.78,59662.2,60819.67
3,"Febrero",57583.69,60163.31,61329.52
4,"Febrero",57672.69,60276.13,61455
5,"Febrero",57672.69,60276.13,61455
6,"Febrero",57672.69,60276.13,61455
7,"Febrero",58119.4,60747.57,61925.78
8,"Febrero",58266.83,60877.43,62060.06
9,"Febrero",58272.74,60848.09,62063.9
10,"Febrero",58731.38,61326.02,62565.32
11,"Febrero",57679.07,60229.62,61443.34
12,"Febrero",57679.07,60229.62,61443.34
13,"Febrero",57679.07,60229.62,61443.34
14,"Febrero",57404.23,59914.66,61139.37
15,"Febrero",57100.55,59578.28,60795.48
16,"Febrero",57319.95,59813.1,61033.08
17,"Febrero",57348.78,59851.85,61081.5
18,"Febrero",56924.16,59419.44,60630.87
19,"Febrero",56924.16,59419.44,60630.87
20,"Febrero",56924.16,59419.44,60630.87
21,"Febrero",56360.35,58828.18,60011.72
22,"Febrero",56340.33,58820.22,60008.76
23,"Febrero",55751.13,58220.12,59408.88
24,"Febrero",55135.71,57582.03,58738.05
25,"Febrero",55101.54,57525.61,58731.76
26,"Febrero",55101.54,57525.61,58731.76
27,"Febrero",55101.54,57525.61,58731.76
28,"Febrero",56028.42,58470.28,59651.2
1,"Marzo",55713.15,58142.2,59284.29
2,"Marzo",55643.88,58096.52,59219.2
3,"Marzo",55973.16,58448.68,59600.63
4,"Marzo",55380.19,57778.61,59004.81
5,"Marzo",55380.19,57778.61,59004.81
6,"Marzo",55380.19,57778.61,59004.81
7,"Marzo",55033.99,57359.28,58588.65
8,"Marzo",54017.62,56253.14,57462.36
9,"Marzo",53892.61,56082.04,57332.97
10,"Marzo",54123.37,56363.79,57604.72
11,"Marzo",54393.91,56645.14,57880.19
12,"Marzo",54393.91,56645.14,57880.19
13,"Marzo",54393.91,56645.14,57880.19
14,"Marzo",54001.09,56232.66,57429.88
15,"Marzo",53634.14,55830.67,56997.32
16,"Marzo",53537.78,55720.61,56872.55
17,"Marzo",54386.08,56622.3,57808.34
18,"Marzo",54799.33,57032.6,58259.78
19,"Marzo",54799.33,57032.6,58259.78
20,"Marzo",54799.33,57032.6,58259.78
21,"Marzo",55410.02,57662.23,58932.75
22,"Marzo",55439.04,57729.37,58973.91
23,"Marzo",55413.98,57695.12,58951.26
24,"Marzo",55341.97,57612.37,58839.05
25,"Marzo",55253.72,57514.44,58746.45
26,"Marzo",55253.72,57514.44,58746.45
27,"Marzo",55253.72,57514.44,58746.45
28,"Marzo",55088.77,57331.24,58583.83
29,"Marzo",54601.05,56798.3,58054.81
30,"Marzo",54898.35,57124.36,58368.89
31,"Marzo",55711.51,57965.45,59202.4
